Unnamed: 0,PROPOSTA COMERCIAL
,(preenchida em papel timbrado da proponente)
DADOS A CONSTAR NA,
PROPOSTA,PREENCHIMENTO PELO PROPONENTE
Razão Social,
CNPJ,
Endereço,
Endereço Eletrônico,
"TIII - judicial, nos termos da",
legislação;,
elefone,
Nome do Representante Legal,
Identidade do Representante,
Legal,CPF do Representante Legal
LOTE,VALORES UNITÁRIOS VALORES TOTAIS
"ITEM 01 – _______, conforme",
especificação técnica do item R$,R$
____ do Anexo I do Edital.,
,Prazo de Garantia
,Prazo de Entrega
,.
,.
Prazo de Validade da Proposta,
Local de Entrega,
Declaro que serão atendidas todas as condições comerciais estabelecidas no Anexo I do Edital.,
"Declaro que nos preços propostos encontram-se incluídos todos os tributos, encargos sociais, trabalhistas e",
"financeiros, taxas, seguros e quaisquer outros ônus que porventura possam recair sobre o objeto a ser",
contratado na presente licitação e que estou de acordo com todas as normas da solicitação de propostas e,
seus anexos.,
Declaro que esta proposta foi elaborada de forma independente.,
Data e local.,
Assinatura do Representante Legal da Empresa,
