"Órgão ";"Valor Empenhado ";"Valor Liquidado ";"Valor Pago "
"ADVOCACIA-GERAL DO ESTADO";"23.202,20";"23.202,20";"23.202,20"
"AGENCIA DE DESENVOLVIMENTO DA REGIAO METROPOLITANA DE BELO HORIZONTE";"3.765,30";"3.765,30";"3.862,80"
"AGENCIA DE DESENVOLVIMENTO DA REGIAO METROPOLITANA DO VALE DO ACO";"11.221,15";"11.221,15";"11.221,15"
"AGENCIA REGULADORA DE SERVICOS DE ABASTECIMENTO DE AGUA E DE ESGOTAMENTO SANITARIO DO ESTADO DE MINA";"48.602,60";"48.602,60";"54.809,80"
"ASSEMBLEIA LEGISLATIVA DO ESTADO DE MINAS GERAIS";"4.934.550,49";"4.934.550,49";"3.650.454,11"
"CONTROLADORIA-GERAL DO ESTADO";"17.678,40";"17.678,40";"17.678,40"
"CORPO DE BOMBEIROS MILITAR DO ESTADO DE MINAS GERAIS";"2.418.122,62";"2.417.675,62";"2.427.453,79"
"DEFENSORIA PUBLICA DO ESTADO DE MINAS GERAIS";"162.477,31";"162.477,31";"171.407,75"
"DEPARTAMENTO DE EDIFICACOES E ESTRADAS DE RODAGEM DO ESTADO DE MINAS GERAIS";"241.216,09";"241.216,09";"246.598,75"
"DEPARTAMENTO DE TRANSITO DE MINAS GERAIS";"312.903,83";"312.903,83";"312.576,69"
"DEPARTAMENTO ESTADUAL DE TELECOMUNICACOES DE MINAS GERAIS";"8.996,15";"8.996,15";"8.996,15"
"ESCOLA DE SAUDE PUBLICA DO ESTADO DE MINAS GERAIS";"26.948,65";"25.221,65";"25.521,65"
"FUNDACAO CENTRO DE HEMATOLOGIA E HEMOTERAPIA DE MINAS GERAIS";"424.844,67";"424.669,02";"446.814,65"
"FUNDACAO CLOVIS SALGADO";"1.253,10";"1.253,10";"1.253,10"
"FUNDACAO DE AMPARO A PESQUISA DO ESTADO DE MINAS GERAIS";"311.929,13";"311.929,13";"311.929,13"
"FUNDACAO DE ARTE DE OURO PRETO";"9.552,05";"9.552,05";"9.325,40"
"FUNDACAO DE EDUCACAO PARA O TRABALHO DE MINAS GERAIS";"1.093,65";"1.093,65";"1.093,65"
"FUNDACAO EDUCACIONAL CAIO MARTINS";"58.768,75";"58.768,75";"58.356,75"
"FUNDACAO ESTADUAL DO MEIO AMBIENTE";"53.586,36";"53.586,36";"58.350,36"
"FUNDACAO EZEQUIEL DIAS";"254.712,58";"254.712,58";"255.773,30"
"FUNDACAO HELENA ANTIPOFF";"0,00";"0,00";"0,00"
"FUNDACAO HOSPITALAR DO ESTADO DE MINAS GERAIS";"253.341,93";"253.341,93";"259.405,08"
"FUNDACAO JOAO PINHEIRO";"36.486,60";"36.486,60";"36.904,10"
"FUNDACAO TV MINAS CULTURAL E EDUCATIVA";"57.651,10";"52.637,50";"43.735,80"
"FUNDO DE RECUPERACAO, PROTECAO E DESENVOLVIMENTO SUSTENTAVEL DAS BACIAS HIDROGRAFICAS DO ESTADO DE M";"139.582,98";"139.582,98";"139.582,98"
"FUNDO ESPECIAL DO MINISTERIO PUBLICO DO ESTADO DE MINAS GERAIS";"204.040,16";"204.040,16";"211.598,88"
"FUNDO ESPECIAL DO PODER JUDICIARIO DO ESTADO DE MINAS GERAIS";"8.979.214,29";"8.970.465,69";"9.221.797,77"
"FUNDO ESTADUAL DE ASSISTENCIA SOCIAL";"345.802,93";"335.384,64";"345.688,87"
"FUNDO ESTADUAL DE DEFESA DE DIREITOS DIFUSOS";"2.368,40";"2.368,40";"2.368,40"
"FUNDO ESTADUAL DE DESENVOLVIMENTO DE TRANSPORTES";"84.993,98";"84.993,98";"85.287,98"
"FUNDO ESTADUAL DE PROTECAO E DEFESA DO CONSUMIDOR";"311.551,04";"311.551,04";"325.246,40"
"FUNDO ESTADUAL DE SAUDE";"8.181.304,50";"8.176.304,50";"8.327.630,90"
"GABINETE MILITAR DO GOVERNADOR DO ESTADO DE MINAS GERAIS";"1.269.020,96";"1.269.020,96";"1.322.764,14"
"INSTITUTO DE DESENVOLVIMENTO DO NORTE E NORDESTE DE MINAS GERAIS";"106.102,90";"106.102,90";"109.467,50"
"INSTITUTO DE METROLOGIA E QUALIDADE DO ESTADO DE MINAS GERAIS";"926.267,85";"926.267,85";"1.047.250,95"
"INSTITUTO DE PREVIDENCIA DOS SERVIDORES DO ESTADO DE MINAS GERAIS";"17.751,53";"17.751,53";"19.692,38"
"INSTITUTO DE PREVIDENCIA DOS SERVIDORES MILITARES DO ESTADO DE MINAS GERAIS";"86.954,70";"86.954,70";"86.954,70"
"INSTITUTO ESTADUAL DE FLORESTAS";"937.579,33";"929.198,13";"856.079,27"
"INSTITUTO ESTADUAL DO PATRIMONIO HISTORICO E ARTISTICO DE MINAS GERAIS";"49.555,05";"49.555,05";"52.329,05"
"INSTITUTO MINEIRO DE AGROPECUARIA";"698.639,44";"698.639,44";"737.979,09"
"INSTITUTO MINEIRO DE GESTAO DAS AGUAS";"370.322,79";"370.322,79";"355.650,09"
"JUNTA COMERCIAL DO ESTADO DE MINAS GERAIS";"11.408,80";"11.408,80";"11.311,30"
"LOTERIA DO ESTADO DE MINAS GERAIS";"1.350,40";"1.350,40";"2.103,10"
"OUVIDORIA-GERAL DO ESTADO DE MINAS GERAIS";"32.031,84";"32.031,84";"33.857,84"
"POLICIA CIVIL DO ESTADO DE MINAS GERAIS";"3.364.731,26";"3.364.731,26";"3.269.515,59"
"POLICIA MILITAR DO ESTADO DE MINAS GERAIS";"10.392.017,32";"10.391.700,34";"10.275.528,73"
"PROCURADORIA GERAL DE JUSTICA";"5.558.938,31";"5.558.938,31";"5.353.544,23"
"SECRETARIA DE ESTADO  DE TRANSPORTES  E OBRAS PUBLICAS";"96.050,55";"96.050,55";"97.216,15"
"SECRETARIA DE ESTADO DE ADMINISTRACAO PRISIONAL";"2.912.612,00";"2.912.612,00";"3.106.586,70"
"SECRETARIA DE ESTADO DE AGRICULTURA, PECUARIA E ABASTECIMENTO";"234.544,69";"234.544,69";"244.656,74"
"SECRETARIA DE ESTADO DE CASA CIVIL E DE RELACOES INSTITUCIONAIS";"3.407,50";"3.407,50";"3.923,70"
"SECRETARIA DE ESTADO DE CIDADES E DE INTEGRACAO REGIONAL";"43.825,16";"43.815,16";"44.350,16"
