"Órgão ";"Valor Empenhado ";"Valor Liquidado ";"Valor Pago "
"ADVOCACIA GERAL DO ESTADO";"2.380,00";"462,00";"462,00"
"AGENCIA DE DESENVOLVIMENTO DA REGIAO METROPOLITANA DE BELO HORIZONTE";"1.500,00";"0,00";"0,00"
"AGENCIA DE DESENVOLVIMENTO DA REGIAO METROPOLITANA DO VALE DO ACO";"0,00";"321,55";"321,55"
"AGENCIA REGULADORA DE SERVICOS DE ABASTECIMENTO DE AGUA E DE ESGOTAMENTO SANITARIO DO ESTADO DE MINA";"0,00";"1.366,50";"5.486,35"
"ASSEMBLEIA LEGISLATIVA DO ESTADO DE MINAS GERAIS";"109.088,26";"109.088,26";"269.949,58"
"CONTROLADORIA-GERAL DO ESTADO";"500,00";"2.559,60";"3.413,80"
"CORPO DE BOMBEIROS MILITAR DO ESTADO DE MINAS GERAIS";"91.657,84";"83.568,47";"35.607,59"
"DEFENSORIA PUBLICA DO ESTADO DE MINAS GERAIS";"12.188,90";"11.266,75";"25.546,85"
"DEPARTAMENTO DE EDIFICACOES E ESTRADAS DE RODAGEM DO ESTADO DE MINAS GERAIS";"26.600,00";"13.783,50";"15.172,50"
"EMPRESA DE ASSISTENCIA TECNICA E EXTENSAO RURAL DO ESTADO DE MINAS GERAIS";"160.435,50";"160.435,50";"160.435,50"
"EMPRESA DE PESQUISA AGROPECUARIA DE MINAS GERAIS";"4.914,75";"4.914,75";"4.914,75"
"ESCOLA DE SAUDE PUBLICA DO ESTADO DE MINAS GERAIS";"1.200,00";"0,00";"687,00"
"FUNDACAO CENTRO DE HEMATOLOGIA E HEMOTERAPIA DE MINAS GERAIS";"6.342,00";"2.874,50";"6.919,90"
"FUNDACAO DE AMPARO A PESQUISA DO ESTADO DE MINAS GERAIS";"10.000,00";"2.516,47";"2.414,95"
"FUNDACAO DE ARTE DE OURO PRETO";"0,00";"503,65";"415,55"
"FUNDACAO EDUCACIONAL CAIO MARTINS";"7.900,00";"816,60";"816,60"
"FUNDACAO ESTADUAL DO MEIO AMBIENTE";"23.850,00";"3.549,00";"5.518,50"
"FUNDACAO EZEQUIEL DIAS";"2.954,55";"2.988,10";"5.533,60"
"FUNDACAO HELENA ANTIPOFF";"10.000,00";"1.292,00";"1.292,00"
"FUNDACAO HOSPITALAR DO ESTADO DE MINAS GERAIS";"3.474,20";"2.368,40";"3.310,25"
"FUNDACAO JOAO PINHEIRO";"10.325,00";"3.160,44";"1.785,74"
"FUNDACAO TV MINAS CULTURAL E EDUCATIVA";"1.750,00";"108,50";"1.986,00"
"FUNDO DE RECUPERACAO, PROTECAO E DESENVOLVIMENTO SUSTENTAVEL DAS BACIAS HIDROGRAFICAS DO ESTADO DE M";"19.000,00";"0,00";"0,00"
"FUNDO ESPECIAL DO PODER JUDICIARIO DO ESTADO DE MINAS GERAIS";"163.447,00";"142.956,50";"277.419,50"
"FUNDO ESTADUAL DE ASSISTENCIA SOCIAL";"2.000,00";"211,50";"211,50"
"FUNDO ESTADUAL DE PROTECAO E DEFESA DO CONSUMIDOR";"495,00";"495,00";"16.883,00"
"FUNDO ESTADUAL DE SAUDE";"655.374,50";"96.336,18";"145.630,54"
"GABINETE MILITAR DO GOVERNADOR DO ESTADO DE MINAS GERAIS";"24.034,53";"4.579,60";"10.231,34"
"INSTITUTO DE DESENVOLVIMENTO DO NORTE E NORDESTE DE MINAS GERAIS";"5.000,00";"1.332,05";"4.556,95"
"INSTITUTO DE METROLOGIA E QUALIDADE DO ESTADO DE MINAS GERAIS";"0,00";"19.191,15";"28.207,65"
