"Órgão ";"Quantidade De Viagens ";"Quantidade De Diárias ";"Valor Pago Diárias ";"Valor Pago Passagens ";"Valor Total "
"ADVOCACIA GERAL DO ESTADO DE MINAS GERAIS - AGE";"458";"264,55";"55.425,51";"143.756,62";"199.182,13"
"AGENCIA DE DESENVOLVIMENTO DA REGIAO METROPOLITANA DE BELO HORIZONTE - ARMBH";"50";"22,50";"4.802,80";"363,20";"5.166,00"
"AGENCIA DE DESENVOLVIMENTO METROPOLITANO DO VALE DO ACO - ARMVA";"33";"45,55";"12.880,15";"0,00";"12.880,15"
"AGENCIA REGULADORA DE SERVICOS DE ABASTECIMENTO DE AGUA E DE ESGOTAMENTO SANITARIO DO ESTADO DE MINAS GERAIS - ARSAE";"144";"308,70";"63.934,78";"27.185,49";"91.120,27"
"CONTROLADORIA GERAL DO ESTADO DE MINAS GERAIS - CGE";"35";"72,95";"19.965,90";"29.606,20";"49.572,10"
"DEPARTAMENTO DE EDIFICACOES E ESTRADAS DE RODAGEM DO ESTADO DE MINAS GERAIS - DEER";"3913";"3.890,90";"643.740,10";"1.184,55";"644.924,65"
"DEPARTAMENTO ESTADUAL DE TELECOMUNICACOES DO ESTADO DE MINAS GERAIS - DETEL (EXTINTO)";"146";"71,10";"12.978,15";"6.732,66";"19.710,81"
"ESCOLA DE SAUDE PUBLICA DO ESTADO DE MINAS GERAIS - ESP";"58";"132,80";"25.356,75";"17.521,05";"42.877,80"
"FUNDACAO CENTRO DE HEMATOLOGIA E HEMOTERAPIA DE MINAS GERAIS - HEMOMINAS";"1739";"2.949,10";"493.103,55";"50.651,69";"543.755,24"
"FUNDACAO CLOVIS SALGADO - FCS";"1";"3,35";"1.293,10";"860,22";"2.153,32"
"FUNDACAO DE AMPARO A PESQUISA DO ESTADO DE MINAS GERAIS - FAPEMIG";"542";"1.248,55";"342.190,75";"270.469,50";"612.660,25"
"FUNDACAO DE EDUCACAO PARA O TRABALHO DE MINAS GERAIS - UTRAMIG";"3";"4,05";"1.213,65";"2.920,43";"4.134,08"
"FUNDACAO EDUCACIONAL CAIO MARTINS - FUCAM";"154";"407,20";"66.860,74";"232,57";"67.093,31"
"FUNDACAO ESTADUAL DO MEIO AMBIENTE - FEAM";"157";"392,15";"75.593,64";"48.539,23";"124.132,87"
"FUNDACAO EZEQUIEL DIAS - FUNED";"442";"1.460,00";"260.945,18";"150.610,84";"411.556,02"
"FUNDACAO HOSPITALAR DO ESTADO DE MINAS GERAIS - FHEMIG";"1120";"1.158,20";"283.925,66";"40.229,00";"324.154,66"
"FUNDACAO JOAO PINHEIRO - FJP";"85";"272,75";"47.909,10";"14.005,80";"61.914,90"
"FUNDACAO TV MINAS CULTURAL E EDUCATIVA - REDE MINAS";"172";"205,00";"56.431,40";"0,00";"56.431,40"
"FUNDAÇÃO DE ARTE DE OURO PRETO - FAOP";"27";"26,65";"9.139,95";"4.696,93";"13.836,88"
"GABINETE MILITAR DO GOVERNADOR - GMG";"181";"159,40";"44.731,55";"30.790,49";"75.522,04"
"INSTITUTO DE DESENVOLVIMENTO DO NORTE E NORDESTE DE MINAS GERAIS - IDENE";"146";"344,20";"67.749,03";"39.595,33";"107.344,36"
"INSTITUTO DE METROLOGIA E QUALIDADE DO ESTADO DE MINAS GERAIS - IPEM";"2584";"9.741,95";"1.572.534,59";"55.042,76";"1.627.577,35"
"INSTITUTO DE PREVIDENCIA DOS SERVIDORES DO ESTADO DE MINAS GERAIS - IPSEMG";"61";"117,35";"24.338,78";"8.851,68";"33.190,46"
"INSTITUTO DE PREVIDENCIA DOS SERVIDORES MILITARES DO ESTADO DE MINAS GERAIS - IPSM";"263";"412,40";"84.681,34";"13.985,73";"98.667,07"
"INSTITUTO ESTADUAL DE FLORESTAS - IEF";"2283";"4.796,95";"844.522,02";"41.238,54";"885.760,56"
"INSTITUTO ESTADUAL DO PATRIMONIO HISTORICO E ARTISTICO DE MINAS GERAIS - IEPHA";"268";"429,35";"68.724,05";"13.174,52";"81.898,57"
"INSTITUTO MINEIRO DE AGROPECUARIA - IMA";"3409";"4.490,40";"727.675,32";"65.869,32";"793.544,64"
"INSTITUTO MINEIRO DE GESTAO DAS AGUAS - IGAM";"624";"3.006,30";"563.803,81";"290.617,21";"854.421,02"
"JUNTA COMERCIAL DO ESTADO DE MINAS GERAIS - JUCEMG";"50";"75,50";"20.489,50";"43.502,10";"63.991,60"
"LOTERIA MINEIRA - LEMG";"5";"8,75";"2.103,10";"1.559,74";"3.662,84"
"OUVIDORIA GERAL DO ESTADO DE MINAS GERAIS - OGE";"70";"160,45";"36.366,85";"17.584,52";"53.951,37"
"POLICIA CIVIL DE MINAS GERAIS - PCMG";"14203";"12.502,80";"3.712.985,56";"17.120,60";"3.730.106,16"
"SECRETARIA DE ESTADO DE ADMINISTRAÇÃO PRISIONAL - SEAP";"16492";"17.633,90";"3.209.293,27";"72.079,19";"3.281.372,46"
"SECRETARIA DE ESTADO DE AGRICULTURA, PECUARIA E ABASTECIMENTO - SEAPA";"530";"1.281,80";"223.772,33";"25.864,71";"249.637,04"
"SECRETARIA DE ESTADO DE CASA CIVIL E DE RELACOES INSTITUCIONAIS - SECCRI";"14";"15,90";"4.398,70";"5.078,46";"9.477,16"
"SECRETARIA DE ESTADO DE CIDADES E DE INTEGRACAO REGIONAL - SECIR";"113";"186,30";"30.499,23";"59.275,71";"89.774,94"
"SECRETARIA DE ESTADO DE CULTURA - SEC";"116";"136,55";"33.884,10";"14.705,71";"48.589,81"
"SECRETARIA DE ESTADO DE DESENVOLVIMENTO AGRARIO - SEDA";"367";"1.086,85";"198.916,41";"28.101,57";"227.017,98"
"SECRETARIA DE ESTADO DE DESENVOLVIMENTO E INTEGRACAO DO NORTE E NORDESTE DE MINAS GERAIS - SEDINOR";"108";"363,80";"76.653,06";"13.168,41";"89.821,47"
"SECRETARIA DE ESTADO DE DESENVOLVIMENTO ECONOMICO, CIENCIA, TECNOLOGIA E ENSINO SUPERIOR";"33";"66,15";"12.243,05";"18.470,50";"30.713,55"
"SECRETARIA DE ESTADO DE DIREITOS HUMANOS, PARTICIPACAO SOCIAL E CIDADANIA - SEDPAC";"645";"593,50";"138.267,15";"41.287,94";"179.555,09"
"SECRETARIA DE ESTADO DE EDUCACAO - SEE";"19469";"24.908,70";"4.643.431,43";"196.207,90";"4.839.639,33"
"SECRETARIA DE ESTADO DE ESPORTES - SEESP";"167";"506,85";"87.897,08";"16.302,27";"104.199,35"
"SECRETARIA DE ESTADO DE FAZENDA - SEF";"749";"1.481,60";"323.346,54";"410.757,27";"734.103,81"
"SECRETARIA DE ESTADO DE GOVERNO - SEGOV";"736";"2.027,60";"348.124,87";"8.597,91";"356.722,78"
"SECRETARIA DE ESTADO DE MEIO AMBIENTE E DESENVOLVIMENTO SUSTENTAVEL - SEMAD";"3716";"8.431,60";"1.568.727,71";"147.766,64";"1.716.494,35"
"SECRETARIA DE ESTADO DE PLANEJAMENTO E GESTAO - SEPLAG";"385";"767,85";"167.055,63";"123.511,73";"290.567,36"
"SECRETARIA DE ESTADO DE SAUDE - SES";"24330";"41.375,45";"8.551.194,01";"1.990.662,38";"10.541.856,39"
"SECRETARIA DE ESTADO DE SEGURANCA PUBLICA - SESP";"1154";"1.710,60";"338.371,76";"59.170,78";"397.542,54"
"SECRETARIA DE ESTADO DE TRABALHO E DESENVOLVIMENTO SOCIAL - SEDESE";"927";"1.772,10";"396.144,65";"100.881,20";"497.025,85"
"SECRETARIA DE ESTADO DE TRANSPORTES E OBRAS PUBLICAS - SETOP";"158";"583,30";"154.074,36";"0,00";"154.074,36"
"SECRETARIA DE ESTADO DE TURISMO - SETUR";"258";"632,15";"138.694,63";"92.041,33";"230.735,96"
"SECRETARIA DE ESTADO EXTRAORDINARIA DE DESENVOLVIMENTO INTEGRADO E FORUNS REGIONAIS - SEEDIF (EXTINTA)";"310";"678,90";"130.864,86";"51.227,31";"182.092,17"
"SECRETARIA GERAL - SG";"30";"48,00";"10.174,00";"9.402,36";"19.576,36"
"UNIVERSIDADE DO ESTADO DE MINAS GERAIS - REITORIA";"602";"1.246,70";"278.691,70";"100.128,63";"378.820,33"
"UNIVERSIDADE ESTADUAL DE MONTES CLAROS - UNIMONTES";"369";"512,60";"99.865,15";"104.216,16";"204.081,31"
